ep,vl,vr,e,delta_e
0.22,2.22,1.74,1.1,0.88
1.1,2.47,1.73,0.33,-0.77
0.33,2.14,2.23,-1.07,-1.4
-1.07,1.89,2.6,-0.95,0.12
-0.95,2.27,2.4,0.94,1.89
0.94,2.82,1.92,1.2,0.26
1.2,2.71,2.08,-0.16,-1.36
-0.16,2.21,2.62,-1.01,-0.85
-1.01,2.05,2.76,-0.74,0.27
-0.74,2.36,2.41,1.1,1.84
1.1,2.87,2.02,1.23,0.13
1.23,2.63,2.14,-0.44,-1.67
-0.44,2.13,2.67,-1.13,-0.69
-1.13,2.12,2.76,-0.26,0.87
-0.26,2.5,2.33,1.23,1.49
1.23,2.84,2.04,1.01,-0.22
1.01,2.53,2.31,-0.97,-1.98
-0.97,2.02,2.87,-1.15,-0.18
-1.15,2.14,2.72,0.25,1.4
0.25,2.63,2.21,1.25,1
1.25,2.81,2.11,0.39,-0.86
0.39,2.36,2.49,-1.1,-1.49
-1.1,2.09,2.85,-1.14,-0.04
-1.14,2.31,2.54,1.02,2.16
1.02,2.91,2.03,1.29,0.27
1.29,2.75,2.11,-0.08,-1.37
-0.08,2.24,2.62,-1.13,-1.05
-1.13,2.05,2.86,-1.01,0.12
-1.01,2.3,2.49,1.1,2.11
1.1,2.9,1.99,1.25,0.15
1.25,2.72,2.07,0.02,-1.23
0.02,2.18,2.6,-1.05,-1.07
-1.05,1.96,2.84,-0.8,0.25
-0.8,2.35,2.51,1.08,1.88
1.08,2.9,2.09,1.17,0.09
1.17,2.68,2.13,-0.26,-1.43
-0.26,2.14,2.68,-1.11,-0.85
-1.11,2.03,2.81,-0.84,0.27
-0.84,2.41,2.43,1.15,1.99
1.15,2.99,1.96,1.25,0.1
1.25,2.77,2.07,-0.01,-1.26
-0.01,2.22,2.63,-1.06,-1.05
-1.06,2.01,2.85,-0.94,0.12
-0.94,2.27,2.5,0.9,1.84
0.9,2.82,2.02,1.23,0.33
1.23,2.73,2.05,0.17,-1.06
0.17,2.21,2.52,-1.07,-1.24
-1.07,1.96,2.82,-1.06,0.01
-1.06,2.27,2.56,0.95,2.01
0.95,2.88,2.04,1.27,0.32
1.27,2.76,2.1,-0.01,-1.28
-0.01,2.25,2.68,-1.03,-1.02
-1.03,2.08,2.9,-0.97,0.06
-0.97,2.36,2.56,0.98,1.95
0.98,2.95,2.07,1.22,0.24
1.22,2.82,2.11,0.21,-1.01
0.21,2.3,2.67,-1.12,-1.33
-1.12,2.08,3,-1.03,0.09
-1.03,2.34,2.68,0.82,1.85
0.82,2.87,2.14,1.2,0.38
1.2,2.78,2.15,-0.07,-1.27
-0.07,2.26,2.68,-1.13,-1.06
-1.13,2.05,2.85,1,2.13
1,2.08,1.73,-0.44,-1.44
-0.44,1.66,2.12,-1,-0.56
-1,1.59,2.14,-0.04,0.96
-0.04,1.93,1.79,1.04,1.08
1.04,2.17,1.61,0.72,-0.32
0.72,1.89,1.85,-1.02,-1.74
-1.02,1.51,2.3,-1.08,-0.06
-1.08,1.71,2.12,0.47,1.55
0.47,2.15,1.7,1.02,0.55
1.02,2.26,1.7,0.15,-0.87
0.15,1.87,2.04,-1.06,-1.21
-1.06,1.67,2.33,-0.77,0.29
-0.77,1.96,2,0.66,1.43
-0.13,0.24,0.11,0.35,0.48
0.35,0.65,0.35,0.35,0
0.35,0.96,0.76,-0.52,-0.87
-0.52,1.13,1.25,-0.63,-0.11
-0.63,1.46,1.42,0.57,1.2
0.57,1.97,1.39,0.93,0.36
0.93,2.1,1.6,-0.54,-1.47
-0.54,1.82,2.18,-0.99,-0.45
-0.99,1.97,2.36,0.28,1.27
0.28,2.54,2.01,1.15,0.87
1.15,2.69,1.89,0.42,-0.73
0.42,2.31,2.37,-1.08,-1.5
-1.08,1.99,2.78,-1.06,0.02
-1.06,2.31,2.56,0.75,1.81
0.75,2.89,2.05,1.14,0.39
1.14,2.85,2.04,0.14,-1
0.14,2.34,2.55,-1.15,-1.29
-1.15,2.13,2.84,-0.9,0.25
-0.9,2.39,2.51,1.22,2.12
1.22,2.97,2.01,1.3,0.08
1.3,2.74,2.13,-0.13,-1.43
-0.13,2.19,2.78,-1.17,-1.04
-1.17,2.03,2.99,-0.53,0.64
-0.53,2.48,2.57,1.21,1.74
1.21,2.95,2.16,1.23,0.02
1.23,2.68,2.32,-0.76,-1.99
-0.76,2.14,2.94,-1.17,-0.41
-1.17,2.09,2.89,-0.11,1.06
-0.11,2.64,2.39,1.25,1.36
1.25,2.95,2.13,0.98,-0.27
0.98,2.56,2.41,-1.06,-2.04
-1.06,2.05,2.97,-1.13,-0.07
-1.13,2.14,2.75,0.24,1.37
0.24,2.65,2.24,1.17,0.93
1.17,2.84,2.09,0.63,-0.54
0.63,2.41,2.42,-1.14,-1.77
-1.14,2.05,2.87,-1.22,-0.08
-1.22,2.3,2.62,0.86,2.08
0.86,2.88,2.09,1.26,0.4
1.26,2.82,2.12,0.2,-1.06
0.2,2.3,2.57,-1.08,-1.28
-1.08,2.04,2.88,-1.03,0.05
-1.03,2.25,2.6,0.61,1.64
0.61,2.74,2.08,1.2,0.59
1.2,2.79,2.09,0.51,-0.69
0.51,2.33,2.45,-1.09,-1.6
-1.09,1.99,2.82,-1.07,0.02
-1.07,2.23,2.57,0.72,1.79
0.72,2.72,2.06,1.25,0.53
1.25,2.74,2.07,0.42,-0.83
0.42,2.27,2.43,-1.11,-1.53
-1.11,1.96,2.85,-1.08,0.03
-1.08,2.27,2.56,0.83,1.91
0.83,2.83,2.05,1.22,0.39
1.22,2.79,2.12,0.12,-1.1
0.12,2.27,2.61,-1.12,-1.24
-1.12,2.06,2.87,-1,0.12
-1,2.28,2.54,0.77,1.77
0.77,2.79,2.03,1.16,0.39
1.16,2.73,2.08,-0.02,-1.18
-0.02,2.22,2.57,-1.14,-1.12
-1.14,2.04,2.85,-0.88,0.26
-0.88,2.35,2.5,0.97,1.85
0.97,2.84,2.02,1.22,0.25
1.22,2.71,2.16,-0.21,-1.43
-0.21,2.19,2.67,-1.1,-0.89
-1.1,2.07,2.85,-0.64,0.46
-0.64,2.44,2.46,1,1.64
1,2.83,2.07,1.1,0.1
1.1,2.66,2.22,-0.14,-1.24
-0.14,2.17,2.67,-0.57,-0.43
-0.57,2.21,2.76,-1.04,-0.47
-1.04,1.64,2.35,-0.93,0.11
-0.93,1.83,2.08,0.9,1.83
0.9,2.37,1.67,1.12,0.22
1.12,2.23,1.75,-0.45,-1.57
-0.45,1.79,2.32,-1.06,-0.61
-1.06,1.77,2.38,-0.13,0.93
-0.13,2.16,1.98,1.04,1.17
1.04,2.36,1.73,0.78,-0.26
0.78,2.09,1.94,-0.47,-1.25
-0.47,1.67,2.35,-0.58,-0.11
-0.58,1.88,2.08,1.04,1.62
-0.1,0.2,0.1,0.3,0.4
0.3,0.62,0.34,0.26,-0.04
0.26,0.9,0.71,-0.4,-0.66
-0.4,1.08,1.15,-0.6,-0.2
-0.6,1.4,1.36,0.36,0.96
0.36,1.82,1.37,0.86,0.5
0.86,2,1.53,-0.26,-1.12
-0.26,1.84,2.03,-1.04,-0.78
-1.04,1.87,2.26,-0.24,0.8
-0.24,2.26,1.97,1.16,1.4
1.16,2.64,1.8,0.95,-0.21
0.95,2.38,2.14,-1.05,-2
-1.05,1.94,2.75,-1.09,-0.04
-1.09,2.05,2.62,-0.08,1.01
-0.08,2.56,2.12,1.16,1.24
1.16,2.85,1.87,0.99,-0.17
0.99,2.48,2.14,-1.07,-2.06
-1.07,1.98,2.75,-1.16,-0.09
-1.16,2.19,2.68,0.38,1.54
0.38,2.73,2.16,1.22,0.84
1.22,2.84,2.09,0.68,-0.54
0.68,2.41,2.47,-1.18,-1.86
-1.18,2.01,2.94,-1.13,0.05
-1.13,2.19,2.65,0.67,1.8
0.67,2.73,2.14,1.21,0.54
1.21,2.75,2.11,0.35,-0.86
0.35,2.3,2.49,-1.16,-1.51
-1.16,2.02,2.85,-1.08,0.08
-1.08,2.27,2.54,1.04,2.12
1.04,2.92,2.03,1.29,0.25
1.29,2.8,2.07,0.34,-0.95
0.34,2.26,2.55,-1.1,-1.44
-1.1,1.96,2.92,-1.03,0.07
-1.03,2.29,2.62,0.92,1.95
0.92,2.89,2.11,1.22,0.3
1.22,2.75,2.13,0.27,-0.95
0.27,2.24,2.57,-1.16,-1.43
-1.16,2.02,2.93,-1.16,0
-1.16,2.31,2.63,0.98,2.14
0.98,2.91,2.1,1.26,0.28
1.26,2.77,2.14,0.04,-1.22
0.04,2.23,2.67,-1.07,-1.11
-1.07,2.03,2.94,-0.97,0.1
-0.97,2.32,2.59,0.96,1.93
0.96,2.88,2.07,1.25,0.29
1.25,2.78,2.1,0.29,-0.96
0.29,2.27,2.58,-1.08,-1.37
-1.08,2.01,2.94,-1.08,0
-1.08,2.27,2.63,0.89,1.97
0.89,2.88,2.13,1.24,0.35
1.24,2.76,2.1,-0.01,-1.25
-0.01,2.25,2.62,-1.12,-1.11
-1.12,2.1,2.9,-0.78,0.34
-0.78,2.42,2.52,1.11,1.89
1.11,3,2.07,1.27,0.16
1.27,2.8,2.14,0.14,-1.13
0.14,2.24,2.71,-1.14,-1.28
-1.14,2.03,3.01,-1.03,0.11
-1.03,2.34,2.65,0.92,1.95
0.92,2.95,2.12,1.21,0.29
1.21,2.82,2.13,-0.05,-1.26
-0.05,2.3,2.69,-1.13,-1.08
-1.13,2.12,2.93,-0.74,0.39
-0.74,2.46,2.54,1.14,1.88
1.14,3,2.1,1.26,0.12
1.26,2.8,2.18,0.09,-1.17
0.09,2.24,2.74,-1.09,-1.18
-1.09,1.99,3.03,-0.94,0.15
-0.94,2.36,2.67,0.89,1.83
0.89,2.92,2.15,0.99,0.1
0.99,2.78,2.12,-0.57,-1.56
-0.57,2.21,2.76,-1.04,-0.47
-1.04,1.64,2.35,-0.93,0.11
-0.93,1.83,2.08,0.9,1.83
0.9,2.37,1.67,1.12,0.22
1.12,2.23,1.75,-0.45,-1.57
-0.45,1.79,2.32,-1.06,-0.61
-1.06,1.77,2.38,-0.13,0.93
-0.13,2.16,1.98,1.04,1.17
1.04,2.36,1.73,0.78,-0.26
0.78,2.09,1.94,-0.47,-1.25
-0.47,1.67,2.35,-0.58,-0.11
-0.58,1.88,2.08,1.04,1.62
-1.07,0.22,0,-1,0.07
-1,0.96,0,0.84,1.84
0.84,1.78,0,1.2,0.36
1.2,1.95,0.44,0.34,-0.86
0.34,1.6,1.29,-1.06,-1.4
-1.06,1.44,1.95,-1.07,-0.01
-1.07,1.83,1.9,0.83,1.9
0.83,2.54,1.54,1.16,0.33
1.16,2.58,1.75,-0.16,-1.32
-0.16,2.1,2.42,-1.08,-0.92
-1.08,1.98,2.62,-0.52,0.56
-0.52,2.48,2.31,1.18,1.7
1.18,2.91,1.99,1.01,-0.17
1.01,2.63,2.33,-0.95,-1.96
-0.95,2.1,2.89,-1.09,-0.14
-1.09,2.18,2.79,0.28,1.37
0.28,2.72,2.25,1.15,0.87
1.15,2.88,2.12,0.65,-0.5
0.65,2.46,2.58,-1.2,-1.85
-1.2,2.05,3.06,-1.23,-0.03
-1.23,2.26,2.79,0.74,1.97
0.74,2.91,2.23,1.24,0.5
1.24,2.85,2.15,0.27,-0.97
0.27,2.36,2.66,-1.11,-1.38
-1.11,2.07,2.94,-1.11,0
-1.11,2.35,2.66,0.99,2.1
0.99,2.96,2.14,1.25,0.26
1.25,2.81,2.26,-0.42,-1.67
-0.42,2.27,2.84,-1.15,-0.73
-1.15,2.15,2.92,-0.42,0.73
-0.42,2.58,2.47,1.21,1.63
1.21,2.99,2.08,1.09,-0.12
1.09,2.67,2.36,-0.91,-2
-0.91,2.14,2.99,-1.13,-0.22
-1.13,2.13,2.85,0.06,1.19
0.06,2.66,2.32,1.27,1.21
1.27,2.89,2.1,0.87,-0.4
0.87,2.51,2.48,-1.09,-1.96
-1.09,2.01,3,-1.13,-0.04
-1.13,2.09,2.8,-0.25,0.88
-0.25,2.67,2.26,1.22,1.47
1.22,3,1.99,1.06,-0.16
1.06,2.64,2.29,-1.03,-2.09
-1.03,2.11,2.85,-1.11,-0.08
-1.11,2.21,2.7,0.6,1.71
0.6,2.79,2.18,1.16,0.56
1.16,2.77,2.07,0.05,-1.11
0.05,2.32,2.53,-1.08,-1.13
-1.08,2.07,2.79,-1.12,-0.04
-1.12,2.24,2.47,0.95,2.07
0.95,2.89,1.98,1.28,0.33
1.28,2.79,2.02,0.33,-0.95
0.33,2.27,2.62,-1.08,-1.41
-1.08,1.98,2.97,-1.05,0.03
-1.05,2.3,2.7,0.75,1.8
0.75,2.88,2.16,1.21,0.46
1.21,2.83,2.15,0.06,-1.15
0.06,2.32,2.66,-1.1,-1.16
-1.1,2.12,2.93,-0.99,0.11
-0.99,2.41,2.58,1.02,2.01
1.02,3.01,2.06,1.24,0.22
1.24,2.85,2.15,-0.1,-1.34
-0.1,2.3,2.78,-1.11,-1.01
-1.11,2.1,2.99,-0.84,0.27
-0.84,2.46,2.61,1.08,1.92
1.08,3.03,2.13,1.24,0.16
1.24,2.84,2.18,0.11,-1.13
0.11,2.29,2.8,-0.97,-1.08
-0.97,2.07,3.1,0.89,1.86
0.89,2.92,2.15,0.99,0.1
0.99,2.78,2.12,-0.57,-1.56
-0.57,2.21,2.76,-1.04,-0.47
-1.04,1.64,2.35,-0.93,0.11
-0.93,1.83,2.08,0.9,1.83
0.9,2.37,1.67,1.12,0.22
1.12,2.23,1.75,-0.45,-1.57
-0.45,1.79,2.32,-1.06,-0.61
-1.06,1.77,2.38,-0.13,0.93
-0.13,2.16,1.98,1.04,1.17
1.04,2.36,1.73,0.78,-0.26
0.78,2.09,1.94,-0.47,-1.25
-0.47,1.67,2.35,-0.58,-0.11
-0.58,1.88,2.08,1.04,1.62
0.51,0.06,0.08,0.35,-0.16
0.35,0.35,0.42,0.07,-0.28
0.07,0.74,0.86,-0.2,-0.27
-0.2,1.11,1.21,-0.41,-0.21
-0.41,1.39,1.49,-0.53,-0.12
-0.53,1.63,1.67,-0.4,0.13
-0.4,1.86,1.79,-0.28,0.12
-0.28,2.05,1.9,-0.04,0.24
-0.04,2.2,1.98,0.11,0.15
0.11,2.32,2.08,0.21,0.1
0.21,2.4,2.19,0.13,-0.08
0.13,2.44,2.31,0.13,0
0.13,2.49,2.41,0.11,-0.02
0.11,2.45,2.41,0.18,0.07
0.18,2.48,2.44,0.06,-0.12
0.06,2.53,2.5,0.11,0.05
0.11,2.56,2.54,0.07,-0.04
0.07,2.59,2.51,0.05,-0.02
0.05,2.53,2.51,0.07,0.02
0.07,2.54,2.51,0.03,-0.04
0.03,2.58,2.56,0.06,0.03
0.06,2.62,2.61,0.18,0.12
0.18,2.66,2.61,0.27,0.09
0.27,2.61,2.55,0.28,0.01
0.28,2.62,2.56,0.19,-0.09
0.19,2.64,2.63,0.15,-0.04
0.15,2.65,2.66,0.23,0.08
0.23,2.62,2.65,0.2,-0.03
0.2,2.6,2.6,0.21,0.01
0.21,2.62,2.66,0.03,-0.18
0.03,2.63,2.69,-0.05,-0.08
-0.05,2.65,2.69,-0.08,-0.03
-0.08,2.62,2.63,0.04,0.12
0.04,2.61,2.61,0.09,0.05
0.09,2.63,2.6,0.1,0.01
0.1,2.65,2.64,0.08,-0.02
0.08,2.68,2.63,0.2,0.12
0.2,2.66,2.61,0.22,0.02
0.22,2.69,2.65,0.26,0.04
0.26,2.69,2.68,0.09,-0.17
0.09,2.69,2.72,0.04,-0.05
0.04,2.67,2.72,-0.15,-0.19
-0.15,2.66,2.67,-0.14,0.01
-0.14,2.67,2.66,-0.03,0.11
-0.03,2.67,2.63,0.05,0.08
0.05,2.7,2.62,0.04,-0.01
0.04,2.68,2.6,0.03,-0.01
0.03,2.66,2.56,-0.08,-0.11
-0.08,2.65,2.59,0.09,0.17
0.09,2.68,2.63,0.26,0.17
0.26,2.7,2.6,0.34,0.08
0.34,2.68,2.58,0.33,-0.01
0.33,2.65,2.59,0.34,0.01
0.34,2.66,2.59,0.35,0.01
0.35,2.65,2.61,0.32,-0.03
0.32,2.62,2.63,0.23,-0.09
0.23,2.59,2.64,0.08,-0.15
0.08,2.59,2.69,-0.03,-0.11
-0.03,2.62,2.7,-0.03,0
-0.03,2.65,2.68,-0.08,-0.05
-0.08,2.62,2.66,-0.03,0.05
-0.03,2.62,2.63,0.08,0.11
0.08,2.63,2.6,0.04,-0.04
0.04,2.67,2.6,0.91,0.87
0.91,2.31,1.57,1.12,0.21
1.12,2.19,1.72,-0.14,-1.26
-0.14,1.75,2.13,-1.05,-0.91
-1.05,1.64,2.27,-0.45,0.6
-0.45,1.95,1.93,1.06,1.51
1.06,2.32,1.61,1,-0.06
1,2.08,1.73,-0.44,-1.44
-0.44,1.66,2.12,-1,-0.56
-1,1.59,2.14,-0.04,0.96
-0.04,1.93,1.79,1.04,1.08
1.04,2.17,1.61,0.72,-0.32
0.72,1.89,1.85,-1.02,-1.74
-1.02,1.51,2.3,-1.08,-0.06
-1.08,1.71,2.12,0.47,1.55
0.47,2.15,1.7,1.02,0.55
1.02,2.26,1.7,0.15,-0.87
0.15,1.87,2.04,-1.06,-1.21
-1.06,1.67,2.33,-0.77,0.29
-0.77,1.96,2,0.66,1.43
0.58,0.24,0.4,0.34,-0.24
0.34,0.53,0.76,-0.02,-0.36
-0.02,0.91,1.15,-0.2,-0.18
-0.2,1.22,1.44,-0.21,-0.01
-0.21,1.52,1.63,0.01,0.22
0.01,1.74,1.74,0,-0.01
0,1.93,1.89,-0.03,-0.03
-0.03,2.06,2.02,-0.01,0.02
-0.01,2.19,2.11,0.04,0.05
0.04,2.29,2.21,0.07,0.03
0.07,2.39,2.31,0.12,0.05
0.12,2.46,2.39,0.14,0.02
0.14,2.48,2.41,0.08,-0.06
0.08,2.51,2.45,-0.12,-0.2
-0.12,2.55,2.5,0.01,0.13
0.01,2.58,2.54,0.07,0.06
0.07,2.58,2.57,0.15,0.08
0.15,2.61,2.56,0.25,0.1
0.25,2.56,2.51,0.19,-0.06
0.19,2.55,2.56,0.04,-0.15
0.04,2.54,2.57,0.1,0.06
0.1,2.55,2.6,0.14,0.04
0.14,2.54,2.6,0.14,0
0.14,2.57,2.62,0.15,0.01
0.15,2.62,2.65,0.14,-0.01
0.14,2.6,2.62,0.15,0.01
0.15,2.62,2.6,0.19,0.04
0.19,2.63,2.64,0.21,0.02
0.21,2.65,2.67,0.12,-0.09
0.12,2.62,2.66,0.1,-0.02
0.1,2.59,2.65,0.03,-0.07
0.03,2.59,2.62,0.1,0.07
0.1,2.62,2.61,0.11,0.01
0.11,2.65,2.63,0.23,0.12
0.23,2.62,2.6,0.16,-0.07
0.16,2.6,2.58,0.1,-0.06
0.1,2.6,2.61,0.12,0.02
0.12,2.62,2.63,0.19,0.07
0.19,2.57,2.6,0.25,0.06
0.25,2.58,2.56,0.2,-0.05
0.2,2.56,2.55,0.08,-0.12
0.08,2.59,2.6,-0.04,-0.12
-0.04,2.61,2.64,0.06,0.1
0.06,2.59,2.59,0.12,0.06
0.12,2.59,2.55,0.26,0.14
0.26,2.61,2.54,0.46,0.2
0.46,2.63,2.57,0.41,-0.05
0.41,2.6,2.58,0.16,-0.25
0.16,2.58,2.6,0.06,-0.1
0.06,2.51,2.58,0.03,-0.03
0.03,2.55,2.61,0.01,-0.02
0.01,2.56,2.6,-0.01,-0.02
-0.01,2.59,2.6,0.06,0.07
0.06,2.59,2.56,-0.04,-0.1
-0.04,2.61,2.59,0.01,0.05
0.01,2.65,2.61,0.03,0.02
0.03,2.64,2.61,-0.06,-0.09
-0.06,2.61,2.61,-0.01,0.05
-0.01,2.65,2.63,0.05,0.06
0.05,2.66,2.62,0.14,0.09
0.14,2.69,2.62,0.13,-0.01
0.13,2.65,2.61,0.2,0.07
0.2,2.64,2.63,0.21,0.01
0.21,2.67,2.64,-0.23,-0.44
-0.23,2.11,1.94,1.15,1.38
1.15,2.39,1.68,0.91,-0.24
0.91,2.09,1.9,-0.92,-1.83
-0.92,1.67,2.4,-1.11,-0.19
-1.11,1.76,2.28,0.55,1.66
0.55,2.37,1.82,1.13,0.58
1.13,2.39,1.76,0.4,-0.73
0.4,1.95,2.07,-1.04,-1.44
-1.04,1.64,2.35,-0.93,0.11
-0.93,1.83,2.08,0.9,1.83
0.9,2.37,1.67,1.12,0.22
1.12,2.23,1.75,-0.45,-1.57
-0.45,1.79,2.32,-1.06,-0.61
-1.06,1.77,2.38,-0.13,0.93
-0.13,2.16,1.98,1.04,1.17
1.04,2.36,1.73,0.78,-0.26
0.78,2.09,1.94,-0.47,-1.25
-0.47,1.67,2.35,-0.58,-0.11
-0.58,1.88,2.08,1.04,1.62
0.1,0.22,0.2,0.06,-0.04
0.06,0.54,0.52,-0.11,-0.17
-0.11,0.89,0.88,-0.13,-0.02
-0.13,1.21,1.18,-0.2,-0.07
-0.2,1.51,1.44,-0.14,0.06
-0.14,1.75,1.66,0.05,0.19
0.05,1.96,1.82,0.04,-0.01
0.04,2.11,1.96,-0.05,-0.09
-0.05,2.2,2.09,-0.1,-0.05
-0.1,2.26,2.17,-0.11,-0.01
-0.11,2.29,2.2,-0.04,0.07
-0.04,2.35,2.28,0.05,0.09
0.05,2.36,2.26,0.11,0.06
0.11,2.41,2.31,0.17,0.06
0.17,2.41,2.31,-0.02,-0.19
-0.02,2.43,2.39,0.14,0.16
0.14,2.46,2.43,0.23,0.09
0.23,2.41,2.38,0.33,0.1
0.33,2.43,2.39,0.37,0.04
0.37,2.38,2.35,0.36,-0.01
0.36,2.37,2.38,0.32,-0.04
0.32,2.33,2.38,0.22,-0.1
0.22,2.33,2.43,0.1,-0.12
0.1,2.32,2.44,-0.05,-0.15
-0.05,2.32,2.45,-0.12,-0.07
-0.12,2.37,2.46,-0.13,-0.01
-0.13,2.4,2.45,-0.07,0.06
-0.07,2.44,2.46,0.07,0.14
0.07,2.47,2.45,0.14,0.07
0.14,2.46,2.44,0.18,0.04
0.18,2.41,2.39,0.16,-0.02
0.16,2.42,2.43,0.2,0.04
0.2,2.46,2.47,0.14,-0.06
0.14,2.45,2.45,0.12,-0.02
0.12,2.44,2.44,0.21,0.09
0.21,2.47,2.47,0.11,-0.1
0.11,2.48,2.5,0.1,-0.01
0.1,2.42,2.42,0.07,-0.03
0.07,2.46,2.46,0.07,0
0.07,2.43,2.42,0.06,-0.01
0.06,2.46,2.44,0.17,0.11
0.17,2.49,2.45,0.21,0.04
0.21,2.45,2.42,0.18,-0.03
0.18,2.46,2.44,0.11,-0.07
0.11,2.47,2.47,0.07,-0.04
0.07,2.47,2.5,0.11,0.04
0.11,2.48,2.48,0.19,0.08
0.19,2.46,2.46,0.21,0.02
0.21,2.47,2.45,0.35,0.14
0.35,2.52,2.5,0.43,0.08
0.43,2.45,2.42,0.32,-0.11
0.32,2.4,2.38,0.18,-0.14
0.18,2.38,2.4,0.13,-0.05
0.13,2.37,2.38,0.19,0.06
0.19,2.37,2.38,0.13,-0.06
0.13,2.38,2.39,0.13,0
0.13,2.4,2.41,0.13,0
0.13,2.44,2.43,0.05,-0.08
0.05,2.43,2.42,0.01,-0.04
0.01,2.45,2.46,-0.09,-0.1
-0.09,2.46,2.51,-0.05,0.04
-0.05,2.47,2.51,-0.05,0
-0.05,2.49,2.52,-0.03,0.02
-0.03,2.49,2.5,0.03,0.06
0.03,2.5,2.48,0.11,0.08
0.11,2.48,2.42,0.19,0.08
0.19,2.44,2.38,0.21,0.02
0.21,2.47,2.42,0.16,-0.05
0.16,2.46,2.42,0.55,0.39
0.55,2.37,1.82,1.13,0.58
1.13,2.39,1.76,0.4,-0.73
0.4,1.95,2.07,-1.04,-1.44
-1.04,1.64,2.35,-0.93,0.11
-0.93,1.83,2.08,0.9,1.83
0.9,2.37,1.67,1.12,0.22
1.12,2.23,1.75,-0.45,-1.57
-0.45,1.79,2.32,-1.06,-0.61
-1.06,1.77,2.38,-0.13,0.93
-0.13,2.16,1.98,1.04,1.17
1.04,2.36,1.73,0.78,-0.26
0.78,2.09,1.94,-0.47,-1.25
-0.47,1.67,2.35,-0.58,-0.11
-0.58,1.88,2.08,1.04,1.62
-0.47,0.1,0.08,-0.31,0.16
-0.31,0.5,0.36,-0.01,0.3
-0.01,0.92,0.67,0.26,0.27
0.26,1.3,1,0.29,0.03
0.29,1.54,1.3,0.27,-0.02
0.27,1.73,1.58,0.14,-0.13
0.14,1.86,1.8,0.09,-0.05
0.09,2.01,1.96,0.11,0.02
0.11,2.11,2.05,0.18,0.07
0.18,2.19,2.14,0.14,-0.04
0.14,2.29,2.23,0.16,0.02
0.16,2.31,2.25,0.19,0.03
0.19,2.35,2.3,0.16,-0.03
0.16,2.4,2.38,0.1,-0.06
0.1,2.44,2.42,0.07,-0.03
0.07,2.47,2.48,0.13,0.06
0.13,2.5,2.48,0.19,0.06
0.19,2.48,2.47,0.3,0.11
0.3,2.48,2.45,0.3,0
0.3,2.45,2.42,0.3,0
0.3,2.4,2.46,0.19,-0.11
0.19,2.38,2.49,0.19,0
0.19,2.38,2.49,0.1,-0.09
0.1,2.35,2.43,-0.01,-0.11
-0.01,2.34,2.44,0.09,0.1
0.09,2.35,2.4,0.05,-0.04
0.05,2.38,2.4,0.15,0.1
0.15,2.42,2.44,0.02,-0.13
0.02,2.46,2.47,0.03,0.01
0.03,2.47,2.5,0.04,0.01
0.04,2.47,2.48,0.11,0.07
0.11,2.48,2.46,0.13,0.02
0.13,2.44,2.45,0.03,-0.1
0.03,2.43,2.46,0.02,-0.01
0.02,2.47,2.49,-0.09,-0.11
-0.09,2.47,2.51,0.08,0.17
0.08,2.48,2.47,0.1,0.02
0.1,2.42,2.39,0.21,0.11
0.21,2.42,2.38,0.25,0.04
0.25,2.43,2.4,0.23,-0.02
0.23,2.41,2.4,0.05,-0.18
0.05,2.43,2.44,-0.06,-0.11
-0.06,2.42,2.43,-0.03,0.03
-0.03,2.44,2.45,0.04,0.07
0.04,2.47,2.44,0.17,0.13
0.17,2.42,2.37,0.21,0.04
0.21,2.43,2.38,0.24,0.03
0.24,2.43,2.38,0.09,-0.15
0.09,2.4,2.38,0.09,0
0.09,2.42,2.43,0.15,0.06
0.15,2.44,2.44,0.23,0.08
0.23,2.43,2.41,0.29,0.06
0.29,2.42,2.41,0.18,-0.11
0.18,2.42,2.41,0.26,0.08
0.26,2.41,2.39,0.26,0
0.26,2.37,2.35,0.22,-0.04
0.22,2.34,2.34,0.15,-0.07
0.15,2.33,2.35,0.01,-0.14
0.01,2.36,2.38,-0.04,-0.05
-0.04,2.39,2.45,-0.13,-0.09
-0.13,2.41,2.46,-0.06,0.07
-0.06,2.43,2.46,0.02,0.08
0.02,2.42,2.41,0.03,0.01
0.03,2.44,2.45,0.03,0
0.03,2.47,2.46,0.07,0.04
0.07,2.46,2.47,0.08,0.01
0.08,2.47,2.43,0.05,-0.03
0.05,2.47,2.47,0.09,0.04
0.09,2.44,2.45,0.55,0.46
0.55,2.37,1.82,1.13,0.58
1.13,2.39,1.76,0.4,-0.73
0.4,1.95,2.07,-1.04,-1.44
-1.04,1.64,2.35,-0.93,0.11
-0.93,1.83,2.08,0.9,1.83
0.9,2.37,1.67,1.12,0.22
1.12,2.23,1.75,-0.45,-1.57
-0.45,1.79,2.32,-1.06,-0.61
-1.06,1.77,2.38,-0.13,0.93
-0.13,2.16,1.98,1.04,1.17
1.04,2.36,1.73,0.78,-0.26
0.78,2.09,1.94,-0.47,-1.25
-0.47,1.67,2.35,-0.58,-0.11
-0.58,1.88,2.08,1.04,1.62
-0.04,0.18,0.18,-0.08,-0.04
-0.08,0.6,0.6,-0.2,-0.12
-0.2,1.06,1.04,-0.21,-0.01
-0.21,1.47,1.41,-0.15,0.06
-0.15,1.8,1.65,-0.06,0.09
-0.06,2.06,1.88,0.09,0.15
